総合評価,注意
総合説明,PCにいくつか注意が必要な項目があります。

主な原因
Windowsイベントログで8件の警告が検出されました
重要度「中」のイベントが3件検出されました
重要度「低」のイベントが5件検出されました
[重要度:低] DistributedCOMのアクセス許可に関する警告が発生しています（4件）
[重要度:中] Microsoft-Windows-RestartManager (Event ID: 10010)（2件）
[重要度:低] Microsoft Edgeの認証処理に関する警告が発生しています（1件）
[重要度:中] Intel無線LANドライバー関連の警告が発生しています（1件）

総合推奨対策
警告が継続的に発生している場合は原因を確認してください

項目,判定,数値,説明,原因,推奨対策
CPU,正常,2.7,CPU使用率に問題は見られません。,,
メモリ,正常,61.3,メモリ使用率に大きな問題は見られません。,,
ディスク,正常,25.9,ディスク容量に問題は見られません。,,
ストレージSMART,正常,1.0,NVMe SSDの健康状態に問題は見られません。,,
Windowsイベントログ,注意,8,Windowsイベントログに警告が検出されています。,Windowsイベントログで8件の警告が検出されました / 重要度「中」のイベントが3件検出されました / 重要度「低」のイベントが5件検出されました / [重要度:低] DistributedCOMのアクセス許可に関する警告が発生しています（4件） / [重要度:中] Microsoft-Windows-RestartManager (Event ID: 10010)（2件） / [重要度:低] Microsoft Edgeの認証処理に関する警告が発生しています（1件） / [重要度:中] Intel無線LANドライバー関連の警告が発生しています（1件）,警告が継続的に発生している場合は原因を確認してください
